Source name,Source site,start year,end year,sample frequency,temporal resolution,Region,County,Watershed,Waterbody,Latitude,Longitude,Spatial extent,spatial resolution,Type of measurment,open access,comments
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=263,1999,2004,hourly,,SACRAMENTO R,SACRAMENTO,,GLN,-121.546,38.345,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=264,1998,1999,event,,SACRAMENTO R,SACRAMENTO,,GLN,-121.546,38.345,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=265,2001,2011,hourly,,STANISLAUS R,STANISLAUS,,GMB,-120.888,37.772,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=266,1989,1995,hourly,,KAWEAH R,TULARE,,GNF,-118.765,36.562,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=267,2010,2022,hourly,,DELTA,SOLANO,,GOD,-122.0812,38.1238,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=268,2004,2022,hourly,,SAN JOAQUIN R,FRESNO,,GRF,-120.16,36.798,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=269,2003,2007,hourly,,FEATHER R,BUTTE,,GRL,-121.647369,39.366577,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=270,2020,2022,event,,FEATHER R,BUTTE,,GRL,-121.647369,39.366577,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=271,2009,2022,event,,SACRAMENTO R,SACRAMENTO,,GSS,-121.518,38.237,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=272,1999,2022,hourly,,TRINITY R,TRINITY,,GVI,-122.752,40.621,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=273,1999,2022,hourly,,TRINITY R,TRINITY,,GVO,-122.76,40.625,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=274,1994,2022,hourly,,DELTA,SOLANO,,GYS,-122.095,38.118,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=275,2018,2022,event,,DELTA,SOLANO,,GZB,-122.007582,38.123145,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=276,2015,2022,event,,DELTA,SOLANO,,GZL,-122.038117,38.12425,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=277,2020,2022,event,,DELTA,SOLANO,,GZM,-122.060196,38.141304,,,logger,yes,
